date,케데헌_콘텐츠,device,gender,age_group,국립중앙박물관,뮷즈_굿즈
2025-01-01,0.0,all,all,10s,1.32224,0.0788
2025-01-01,0.0,all,all,20s,6.07481,0.26111
2025-01-01,0.0,all,all,30s,6.65327,0.43884
2025-01-01,0.0,all,all,40s_plus,9.2809,0.19842
2025-01-01,0.0,all,all,all,7.70011,0.28578
2025-01-01,0.0,all,f,all,8.48699,0.27737
2025-01-01,0.0,all,m,all,6.58945,0.30769
2025-01-02,0.0,all,all,10s,1.90017,0.06129
2025-01-02,0.0,all,all,20s,7.98785,0.39433
2025-01-02,0.0,all,all,30s,9.64334,0.38305
2025-01-02,0.0,all,all,40s_plus,11.18108,0.29548
2025-01-02,0.0,all,all,all,10.44042,0.36004
2025-01-02,0.0,all,f,all,11.17705,0.32695
2025-01-02,0.0,all,m,all,7.88245,0.38029
2025-01-03,0.0,all,all,10s,2.58318,0.18388
2025-01-03,0.0,all,all,20s,7.71608,0.34637
2025-01-03,0.0,all,all,30s,8.96277,0.43512
2025-01-03,0.0,all,all,40s_plus,10.32697,0.32999
2025-01-03,0.0,all,all,all,9.7034,0.39576
2025-01-03,0.0,all,f,all,10.60061,0.38274
2025-01-03,0.0,all,m,all,7.26015,0.37683
2025-01-04,0.0,all,all,10s,1.76882,0.09632
2025-01-04,0.0,all,all,20s,8.33422,0.31439
2025-01-04,0.0,all,all,30s,11.18673,0.4314
2025-01-04,0.0,all,all,40s_plus,11.83245,0.37313
2025-01-04,0.0,all,all,all,10.7168,0.39106
2025-01-04,0.0,all,f,all,11.51176,0.36879
2025-01-04,0.0,all,m,all,9.78738,0.41832
2025-01-05,0.0,all,all,10s,2.35551,0.10507
2025-01-05,0.0,all,all,20s,8.62197,0.31439
2025-01-05,0.0,all,all,30s,8.34542,0.47603
2025-01-05,0.0,all,all,40s_plus,9.39737,0.27176
2025-01-05,0.0,all,all,all,8.84418,0.34782
2025-01-05,0.0,all,f,all,9.92809,0.34245
2025-01-05,0.0,all,m,all,7.19446,0.35955
2025-01-06,0.0,all,all,10s,2.24168,0.09632
2025-01-06,0.0,all,all,20s,8.88841,0.47426
2025-01-06,0.0,all,all,30s,8.06649,0.56156
2025-01-06,0.0,all,all,40s_plus,10.05737,0.31489
2025-01-06,0.0,all,all,all,9.51821,0.43619
2025-01-06,0.0,all,f,all,10.6223,0.41373
2025-01-06,0.0,all,m,all,6.57216,0.44943
2025-01-07,0.0,all,all,10s,2.25043,0.06129
2025-01-07,0.0,all,all,20s,8.39816,0.43696
2025-01-07,0.0,all,all,30s,7.91773,0.45371
2025-01-07,0.0,all,all,40s_plus,10.04011,0.30842
2025-01-07,0.0,all,all,all,9.44958,0.38918
2025-01-07,0.0,all,f,all,10.70908,0.40753
2025-01-07,0.0,all,m,all,5.89801,0.3146
2025-01-08,0.0,all,all,10s,2.30297,0.05253
2025-01-08,0.0,all,all,20s,8.67526,0.47426
2025-01-08,0.0,all,all,30s,8.31938,0.50578
2025-01-08,0.0,all,all,40s_plus,10.04658,0.34078
2025-01-08,0.0,all,all,all,9.68272,0.41833
2025-01-08,0.0,all,f,all,10.73697,0.40908
2025-01-08,0.0,all,m,all,6.42005,0.43215
2025-01-09,0.0,all,all,10s,1.88266,0.09632
2025-01-09,0.0,all,all,20s,7.79601,0.33571
2025-01-09,0.0,all,all,30s,7.70575,0.53181
2025-01-09,0.0,all,all,40s_plus,9.52463,0.31489
2025-01-09,0.0,all,all,all,8.74641,0.41081
