year,quarter,rank,category,product_name
2023,1,1,생활소품,반가미니어처(Ver2)
2023,1,2,생활소품,반가미니어처(Ver3)
2023,1,3,생활소품,왕과왕비수저
2023,1,4,공예품,자개  텀블러
2023,1,5,생활소품,나전무선충전기
2023,1,6,생활소품,자개소반 무선충전기
2023,1,7,생활소품,곤룡포잔_세트
2023,1,8,생활소품,머그접시세트
2023,1,9,문구사무,백제발굴체험
2023,1,10,문구사무,조선시대미니유물발굴체험
2023,1,11,공예품,나전칠기명함집(금속)
2023,1,12,생활소품,주병세트
2023,1,13,공예품,전통문양  찻잔세트
2023,1,14,문구사무,우리문화재책갈피세트_일반형
2023,1,15,공예품,이조  연화당초  육각  악세사리함
2023,1,16,생활소품,반가사유상  무드등
2023,1,17,공예품,청자다식접시세트(3p)
2023,1,18,문구사무,신라발굴체험
2023,1,19,문구사무,나전칠기마그넷
2023,1,20,문구사무,고구려발굴체험
2023,1,21,생활소품,실경도자기잔세트A
2023,1,22,문구사무,금관연필(검은색)
2023,1,23,식품,고요한아침의나라-전통차
2023,1,24,생활소품,전통매듭공기
2023,1,25,생활소품,3단자동우산_가례도감의궤
2023,1,26,생활소품,초충도  손수건
2023,1,27,문구사무,우리문화재책갈피세트_고급형
2023,1,28,생활소품,의궤수저세트
2023,1,29,패션/잡화,접이부채_의궤
2023,1,30,생활소품,신라책갈피세트
2023,2,1,생활소품,접이부채  시리즈
2023,2,2,생활소품,반가미니어처(Ver3)
2023,2,3,공예품,자개텀블러
2023,2,4,생활소품,왕과왕비수저
2023,2,5,생활소품,나난  초충도에디션
2023,2,6,생활소품,3단자동우산_문화유산시리즈
2023,2,7,생활소품,반가미니어처(Ver2)
2023,2,8,공예품,왕과왕비잔세트
2023,2,9,생활소품,주병세트
2023,2,10,생활소품,곤룡포잔_세트
2023,2,11,공예품,나전칠기명함집(금속)
2023,2,12,생활소품,나전칠기  벽시계_달토끼
2023,2,13,패션/잡화,"호랑이전  손거울_나전,자수호랑이"
2023,2,14,공예품,청자다식접시세트(3p)
2023,2,15,생활소품,실경도자기잔세트
2023,2,16,생활소품,자개소반  무선충전기
2023,2,17,문구사무,조선시대미니유물발굴체험
2023,2,18,생활소품,의궤수저세트
2023,2,19,공예품,전통문양  찻잔세트
2023,2,20,생활소품,금관굽잔세트
2023,2,21,문구사무,금관연필_검은색
2023,2,22,문구사무,우리문화재책갈피_고급형
2023,2,23,문구사무,백제발굴체험
2023,2,24,문구사무,특별한양장수첩_꽃과나비
2023,2,25,생활소품,곤룡포잔_세트
2023,2,26,문구사무,특별한양장수첩_나전
2023,2,27,문구사무,볼펜_서울
2023,2,28,문구사무,나전칠기마그넷
2023,2,29,공예품,나전부채자석
2023,2,30,공예품,도자문잔받침세트
2023,3,1,생활소품,자개텀블러
2023,3,2,패션/잡화,접이부채  시리즈
2023,3,3,생활소품,주병세트
2023,3,4,생활소품,반가미니어처(Ver3)
2023,3,5,생활소품,왕과왕비수저
2023,3,6,서적,"전시도록_영원한여정,특별한동행:상형토기와토우장식토기"
2023,3,7,생활소품,3단자동우산_문화유산시리즈
2023,3,8,생활소품,곤룡포잔_세트
2023,3,9,생활소품,반가미니어처(Ver2)
2023,3,10,문구/사무,나전칠기명함집(금속)
2023,3,11,패션/잡화,일월오봉도  에코백
2023,3,12,공예품,청자다식접시세트(3p)
2023,3,13,생활소품,자개소반  무선충전기
2023,3,14,문구/사무,백제발굴체험
2023,3,15,생활소품,초충도  손수건
2023,3,16,문구/사무,조선시대미니유물발굴체험
2023,3,17,생활소품,금관굽잔세트
2023,3,18,문구/사무,나전소반  만들기
2023,3,19,생활소품,일월오봉도  잔세트(2P)
2023,3,20,생활소품,나전부채자석
2023,3,21,문구/사무,금관연필_검은색(1P)
2023,3,22,문구/사무,볼펜_서울
2023,3,23,생활소품,실경/도자기잔세트
2023,3,24,생활소품,나전원형코스터
2023,3,25,생활소품,나전칠기마그넷
2023,3,26,생활소품,의궤수저세트
2023,3,27,공예품,전통문양  찻잔세트
2023,3,28,생활소품,곤룡포  투명머그
2023,3,29,생활소품,전통매듭공기
2023,3,30,공예품,도자문잔받침세트
2023,4,1,생활소품,청자잔세트
2023,4,2,생활소품,자개텀블러
2023,4,3,생활소품,주병세트
2023,4,4,생활소품,왕과왕비수저
2023,4,5,생활소품,접이부채  시리즈
2023,4,6,생활소품,반가미니어처(Ver3)
2023,4,7,생활소품,3단자동우산_문화유산시리즈
2023,4,8,생활소품,특별한양장수첩_나전
2023,4,9,문구/사무,2024  국립박물관  달력
2023,4,10,생활소품,나전칠기명함집(금속)
2023,4,11,생활소품,신라의미소파우치
2023,4,12,문구/사무,발굴체험(고구려/백제/신라/조선)
2023,4,13,생활소품,곤룡포잔_세트
2023,4,14,패션/잡화,나전스카프
2023,4,15,생활소품,초충도  손수건
2023,4,16,생활소품,의궤수저세트
2023,4,17,생활소품,금관굽잔세트
2023,4,18,생활소품,우리문화재책갈피세트_일반형
2023,4,19,생활소품,은나노손톱깎이세트
2023,4,20,생활소품,청자볼펜세트
2023,4,21,생활소품,반가미니어처(Ver2)
2023,4,22,공예품,청자다식접시세트(3p)
2023,4,23,생활소품,실경산수화  도자기잔  세트
2023,4,24,공예품,이조  연화당초  육각  악세사리함
2023,4,25,생활소품,우리문화재책갈피_고급형
2023,4,26,생활소품,청자접시세트
2023,4,27,생활소품,신라의미소우양산
2023,4,28,공예품,전통문양찻잔세트
2023,4,29,서적,"전시도록_스투파의숲,신비로운인도이야기[도록편]"
2023,4,30,생활소품,자개소반무선충전기
2024,1,1,생활소품,반가미니어처(Ver2)
2024,1,2,생활소품,반가미니어처(Ver3)
2024,1,3,생활소품,왕과왕비수저
2024,1,4,공예품,자개  텀블러
2024,1,5,생활소품,나전무선충전기
2024,1,6,생활소품,자개소반 무선충전기
2024,1,7,생활소품,곤룡포잔_세트
2024,1,8,생활소품,머그접시세트
2024,1,9,문구사무,백제발굴체험
2024,1,10,문구사무,조선시대미니유물발굴체험
2024,1,11,공예품,나전칠기명함집(금속)
2024,1,12,생활소품,주병세트
2024,1,13,공예품,전통문양  찻잔세트
2024,1,14,문구사무,우리문화재책갈피세트_일반형
2024,1,15,공예품,이조  연화당초  육각  악세사리함
2024,1,16,생활소품,반가사유상  무드등
2024,1,17,공예품,청자다식접시세트(3p)
2024,1,18,문구사무,신라발굴체험
2024,1,19,문구사무,나전칠기마그넷
2024,1,20,문구사무,고구려발굴체험
2024,1,21,생활소품,실경도자기잔세트A
2024,1,22,문구사무,금관연필(검은색)
2024,1,23,식품,고요한아침의나라-전통차
2024,1,24,생활소품,전통매듭공기
2024,1,25,생활소품,3단자동우산_가례도감의궤
2024,1,26,생활소품,초충도  손수건
2024,1,27,문구사무,우리문화재책갈피세트_고급형
2024,1,28,생활소품,의궤수저세트
2024,1,29,패션잡화,접이부채_의궤
2024,1,30,생활소품,신라책갈피세트
2024,2,1,생활소품,접이부채  시리즈
2024,2,2,생활소품,반가미니어처(Ver3)
2024,2,3,공예품,자개텀블러
2024,2,4,생활소품,왕과왕비수저
2024,2,5,생활소품,나난  초충도에디션
2024,2,6,생활소품,3단자동우산_문화유산시리즈
2024,2,7,생활소품,반가미니어처(Ver2)
2024,2,8,공예품,왕과왕비잔세트
2024,2,9,생활소품,주병세트
2024,2,10,생활소품,곤룡포잔_세트
2024,2,11,공예품,나전칠기명함집(금속)
2024,2,12,생활소품,나전칠기  벽시계_달토끼
2024,2,13,패션잡화,"호랑이전  손거울_나전,자수호랑이"
2024,2,14,공예품,청자다식접시세트(3p)
2024,2,15,생활소품,실경도자기잔세트
2024,2,16,생활소품,자개소반  무선충전기
2024,2,17,문구사무,조선시대미니유물발굴체험
2024,2,18,생활소품,의궤수저세트
2024,2,19,공예품,전통문양  찻잔세트
2024,2,20,생활소품,금관굽잔세트
2024,2,21,문구사무,금관연필_검은색
2024,2,22,문구사무,우리문화재책갈피_고급형
2024,2,23,문구사무,백제발굴체험
2024,2,24,문구사무,특별한양장수첩_꽃과나비
2024,2,25,생활소품,곤룡포잔_세트
2024,2,26,문구사무,특별한양장수첩_나전
2024,2,27,문구사무,볼펜_서울
2024,2,28,문구사무,나전칠기마그넷
2024,2,29,공예품,나전부채자석
2024,2,30,공예품,도자문잔받침세트
2024,3,1,생활소품,자개텀블러
2024,3,2,패션잡화,접이부채  시리즈
2024,3,3,생활소품,주병세트
2024,3,4,생활소품,반가미니어처(Ver3)
2024,3,5,생활소품,왕과왕비수저
2024,3,6,서적,"전시도록_영원한여정,특별한동행:상형토기와토우장식토기"
2024,3,7,생활소품,3단자동우산_문화유산시리즈
2024,3,8,생활소품,곤룡포잔_세트
2024,3,9,생활소품,반가미니어처(Ver2)
2024,3,10,문구사무,나전칠기명함집(금속)
2024,3,11,패션잡화,일월오봉도  에코백
2024,3,12,공예품,청자다식접시세트(3p)
2024,3,13,생활소품,자개소반  무선충전기
2024,3,14,문구사무,백제발굴체험
2024,3,15,생활소품,초충도  손수건
2024,3,16,문구사무,조선시대미니유물발굴체험
2024,3,17,생활소품,금관굽잔세트
2024,3,18,문구사무,나전소반  만들기
2024,3,19,생활소품,일월오봉도  잔세트(2P)
2024,3,20,생활소품,나전부채자석
2024,3,21,문구사무,금관연필_검은색(1P)
2024,3,22,문구사무,볼펜_서울
2024,3,23,생활소품,실경/도자기잔세트
2024,3,24,생활소품,나전원형코스터
2024,3,25,생활소품,나전칠기마그넷
2024,3,26,생활소품,의궤수저세트
2024,3,27,공예품,전통문양  찻잔세트
2024,3,28,생활소품,곤룡포  투명머그
2024,3,29,생활소품,전통매듭공기
2024,3,30,공예품,도자문잔받침세트
2024,4,1,생활소품,청자잔세트
2024,4,2,생활소품,자개텀블러
2024,4,3,생활소품,주병세트
2024,4,4,생활소품,왕과왕비수저
2024,4,5,생활소품,접이부채  시리즈
2024,4,6,생활소품,반가미니어처(Ver3)
2024,4,7,생활소품,3단자동우산_문화유산시리즈
2024,4,8,생활소품,특별한양장수첩_나전
2024,4,9,문구사무,2024  국립박물관  달력
2024,4,10,생활소품,나전칠기명함집(금속)
2024,4,11,생활소품,신라의미소파우치
2024,4,12,문구사무,발굴체험(고구려/백제/신라/조선)
2024,4,13,생활소품,곤룡포잔_세트
2024,4,14,패션잡화,나전스카프
2024,4,15,생활소품,초충도  손수건
2024,4,16,생활소품,의궤수저세트
2024,4,17,생활소품,금관굽잔세트
2024,4,18,생활소품,우리문화재책갈피세트_일반형
2024,4,19,생활소품,은나노손톱깎이세트
2024,4,20,생활소품,청자볼펜세트
2024,4,21,생활소품,반가미니어처(Ver2)
2024,4,22,공예품,청자다식접시세트(3p)
2024,4,23,생활소품,실경산수화  도자기잔  세트
2024,4,24,공예품,이조  연화당초  육각  악세사리함
2024,4,25,생활소품,우리문화재책갈피_고급형
2024,4,26,생활소품,청자접시세트
2024,4,27,생활소품,신라의미소우양산
