year,channel,channel_kr,sales,ratio
2021,B2B,기업특판(B2B),1702,0.2583
2021,Royalty,기타(로열티),0,0.0
2021,Offline,오프라인,3259,0.4945
2021,Online,온라인,1629,0.2472
2022,B2B,기업특판(B2B),2413,0.2064
2022,Royalty,기타(로열티),0,0.0
2022,Offline,오프라인,7349,0.6285
2022,Online,온라인,1931,0.1651
2023,B2B,기업특판(B2B),3171,0.2118
2023,Royalty,기타(로열티),98,0.0065
2023,Offline,오프라인,9477,0.6329
2023,Online,온라인,2229,0.1488
2024,B2B,기업특판(B2B),4024,0.1891
2024,Royalty,기타(로열티),282,0.0132
2024,Offline,오프라인,11756,0.5524000000000001
2024,Online,온라인,5222,0.2453
2025,B2B,기업특판(B2B),5623,0.136
2025,Royalty,기타(로열티),135,0.0033
2025,Offline,오프라인,23391,0.5659
2025,Online,온라인,12187,0.2948
