id,year,month,category,date,visitor
0,2024,1,내국인,2024-01-01,317286
1,2024,1,외국인,2024-01-01,7841
2,2024,2,내국인,2024-02-01,296323
3,2024,2,외국인,2024-02-01,9202
4,2024,3,내국인,2024-03-01,205603
5,2024,3,외국인,2024-03-01,16662
6,2024,4,내국인,2024-04-01,205456
7,2024,4,외국인,2024-04-01,21133
8,2024,5,내국인,2024-05-01,265843
9,2024,5,외국인,2024-05-01,20648
10,2024,6,내국인,2024-06-01,264058
11,2024,6,외국인,2024-06-01,19472
12,2024,7,내국인,2024-07-01,339913
13,2024,7,외국인,2024-07-01,21580
14,2024,8,내국인,2024-08-01,408391
15,2024,8,외국인,2024-08-01,19826
16,2024,9,내국인,2024-09-01,333975
17,2024,9,외국인,2024-09-01,17758
18,2024,10,내국인,2024-10-01,288462
19,2024,10,외국인,2024-10-01,21578
20,2024,11,내국인,2024-11-01,252518
21,2024,11,외국인,2024-11-01,13143
22,2024,12,내국인,2024-12-01,412872
23,2024,12,외국인,2024-12-01,9242
24,2025,1,내국인,2025-01-01,505282
25,2025,1,외국인,2025-01-01,7980
26,2025,2,내국인,2025-02-01,536035
27,2025,2,외국인,2025-02-01,7326
28,2025,3,내국인,2025-03-01,325928
29,2025,3,외국인,2025-03-01,15543
30,2025,4,내국인,2025-04-01,324329
31,2025,4,외국인,2025-04-01,23785
32,2025,5,내국인,2025-05-01,472680
33,2025,5,외국인,2025-05-01,22704
34,2025,6,내국인,2025-06-01,454084
35,2025,6,외국인,2025-06-01,20647
36,2025,7,내국인,2025-07-01,720949
37,2025,7,외국인,2025-07-01,26730
38,2025,8,내국인,2025-08-01,842049
39,2025,8,외국인,2025-08-01,22928
40,2025,9,내국인,2025-09-01,384647
41,2025,9,외국인,2025-09-01,24378
42,2025,10,내국인,2025-10-01,525901
43,2025,10,외국인,2025-10-01,27683
44,2025,11,내국인,2025-11-01,503739
45,2025,11,외국인,2025-11-01,18938
46,2025,12,내국인,2025-12-01,680668
47,2025,12,외국인,2025-12-01,12550
