date,visitors,year,month,day,day_of_week,is_weekend
2015-02-23,0,2015,2,23,월,False
2015-03-16,0,2015,3,16,월,False
2015-03-23,0,2015,3,23,월,False
2015-04-27,0,2015,4,27,월,False
2015-06-01,0,2015,6,1,월,False
2015-06-08,0,2015,6,8,월,False
2015-06-22,0,2015,6,22,월,False
2015-11-23,0,2015,11,23,월,False
2015-12-28,0,2015,12,28,월,False
2016-01-04,0,2016,1,4,월,False
2016-01-25,0,2016,1,25,월,False
2016-02-01,0,2016,2,1,월,False
2016-02-15,0,2016,2,15,월,False
2016-03-14,0,2016,3,14,월,False
2016-03-21,0,2016,3,21,월,False
2016-04-18,0,2016,4,18,월,False
2016-04-25,0,2016,4,25,월,False
2016-05-09,0,2016,5,9,월,False
2016-06-13,0,2016,6,13,월,False
2016-09-12,0,2016,9,12,월,False
2016-09-19,0,2016,9,19,월,False
2018-01-01,0,2018,1,1,월,False
2018-09-24,0,2018,9,24,월,False
2019-01-01,0,2019,1,1,화,False
2019-02-05,0,2019,2,5,화,False
2019-09-13,0,2019,9,13,금,False
2020-01-01,0,2020,1,1,수,False
2020-01-25,0,2020,1,25,토,True
2020-02-25,0,2020,2,25,화,False
2020-02-26,0,2020,2,26,수,False
2020-02-27,0,2020,2,27,목,False
2020-02-28,0,2020,2,28,금,False
2020-02-29,0,2020,2,29,토,True
2020-03-01,0,2020,3,1,일,True
2020-03-02,0,2020,3,2,월,False
2020-03-03,0,2020,3,3,화,False
2020-03-04,0,2020,3,4,수,False
2020-03-05,0,2020,3,5,목,False
2020-03-06,0,2020,3,6,금,False
2020-03-07,0,2020,3,7,토,True
2020-03-08,0,2020,3,8,일,True
2020-03-09,0,2020,3,9,월,False
2020-03-10,0,2020,3,10,화,False
2020-03-11,0,2020,3,11,수,False
2020-03-12,0,2020,3,12,목,False
2020-03-13,0,2020,3,13,금,False
2020-03-14,0,2020,3,14,토,True
2020-03-15,0,2020,3,15,일,True
2020-03-16,0,2020,3,16,월,False
2020-03-17,0,2020,3,17,화,False
2020-03-18,0,2020,3,18,수,False
2020-03-19,0,2020,3,19,목,False
2020-03-20,0,2020,3,20,금,False
2020-03-21,0,2020,3,21,토,True
2020-03-22,0,2020,3,22,일,True
2020-03-23,0,2020,3,23,월,False
2020-03-24,0,2020,3,24,화,False
2020-03-25,0,2020,3,25,수,False
2020-03-26,0,2020,3,26,목,False
2020-03-27,0,2020,3,27,금,False
2020-03-28,0,2020,3,28,토,True
2020-03-29,0,2020,3,29,일,True
2020-03-30,0,2020,3,30,월,False
2020-03-31,0,2020,3,31,화,False
2020-04-01,0,2020,4,1,수,False
2020-04-02,0,2020,4,2,목,False
2020-04-03,0,2020,4,3,금,False
2020-04-04,0,2020,4,4,토,True
2020-04-05,0,2020,4,5,일,True
2020-04-06,0,2020,4,6,월,False
2020-04-07,0,2020,4,7,화,False
2020-04-08,0,2020,4,8,수,False
2020-04-09,0,2020,4,9,목,False
2020-04-10,0,2020,4,10,금,False
2020-04-11,0,2020,4,11,토,True
2020-04-12,0,2020,4,12,일,True
2020-04-13,0,2020,4,13,월,False
2020-04-14,0,2020,4,14,화,False
2020-04-15,0,2020,4,15,수,False
2020-04-16,0,2020,4,16,목,False
2020-04-18,0,2020,4,18,토,True
2020-04-19,0,2020,4,19,일,True
2020-04-20,0,2020,4,20,월,False
2020-04-21,0,2020,4,21,화,False
2020-04-23,0,2020,4,23,목,False
2020-04-24,0,2020,4,24,금,False
2020-04-25,0,2020,4,25,토,True
2020-04-26,0,2020,4,26,일,True
2020-04-28,0,2020,4,28,화,False
2020-04-29,0,2020,4,29,수,False
2020-04-30,0,2020,4,30,목,False
2020-05-01,0,2020,5,1,금,False
2020-05-02,0,2020,5,2,토,True
2020-05-03,0,2020,5,3,일,True
2020-05-04,0,2020,5,4,월,False
2020-05-30,0,2020,5,30,토,True
2020-05-31,0,2020,5,31,일,True
2020-06-01,0,2020,6,1,월,False
2020-06-02,0,2020,6,2,화,False
2020-06-05,0,2020,6,5,금,False
2020-06-06,0,2020,6,6,토,True
2020-06-07,0,2020,6,7,일,True
2020-06-08,0,2020,6,8,월,False
2020-06-09,0,2020,6,9,화,False
2020-06-11,0,2020,6,11,목,False
2020-06-13,0,2020,6,13,토,True
2020-06-14,0,2020,6,14,일,True
2020-06-18,0,2020,6,18,목,False
2020-06-21,0,2020,6,21,일,True
2020-06-25,0,2020,6,25,목,False
2020-06-27,0,2020,6,27,토,True
2020-06-28,0,2020,6,28,일,True
2020-07-02,0,2020,7,2,목,False
2020-07-04,0,2020,7,4,토,True
2020-07-05,0,2020,7,5,일,True
2020-07-06,0,2020,7,6,월,False
2020-07-09,0,2020,7,9,목,False
2020-07-10,0,2020,7,10,금,False
2020-07-11,0,2020,7,11,토,True
2020-07-12,0,2020,7,12,일,True
2020-07-13,0,2020,7,13,월,False
2020-07-17,0,2020,7,17,금,False
