연도,월,총관람객,내국인,외국인
2024,1,325127,317286,7841
2024,2,305525,296323,9202
2024,3,222265,205603,16662
2024,4,226589,205456,21133
2024,5,286491,265843,20648
2024,6,283530,264058,19472
2024,7,361493,339913,21580
2024,8,428217,408391,19826
2024,9,351733,333975,17758
2024,10,310040,288462,21578
2024,11,265661,252518,13143
2024,12,422114,412872,9242
2025,1,513262,505282,7980
2025,2,543361,536035,7326
2025,3,341471,325928,15543
2025,4,348114,324329,23785
2025,5,495384,472680,22704
2025,6,474731,454084,20647
2025,7,747679,720949,26730
2025,8,864977,842049,22928
2025,9,409025,384647,24378
2025,10,553584,525901,27683
2025,11,522677,503739,18938
2025,12,693218,680668,12550
